timestamp,mic,accel_x,accel_y,accel_z
99205,8,-0.55,3.65,8.04
99562,3,2.24,1.29,9.41
99904,6,1.88,0.78,10.55
100261,4,-2.00,1.37,7.65
100633,3,0.55,-0.31,9.81
101005,1,-0.24,2.63,7.30
101376,6,-1.92,0.55,7.96
101747,5,3.33,-0.35,9.53
102119,5,-1.61,-0.24,10.36
102518,10,3.41,0.90,10.63
102904,2,-3.06,3.26,7.45
103276,5,-2.20,1.10,8.12
103647,6,-2.16,1.22,7.37
104018,16,0.98,1.37,7.26
104390,17,2.28,-0.67,10.43
104790,9,2.82,-0.35,9.96
105161,0,1.10,1.22,10.51
105533,5,1.49,0.47,10.28
105904,4,-2.24,0.78,6.98
106275,5,1.92,-1.14,10.51
106661,1,1.49,-1.41,8.94
107033,7,1.61,3.61,8.32
107389,1,3.57,0.98,10.08
107761,1,2.31,-1.80,10.71
108147,2,0.75,1.45,10.51
108518,5,-2.24,0.82,7.41
108890,2,-0.24,0.12,10.20
109276,1,3.30,0.55,10.43
109646,1,-0.59,1.77,9.61
110018,12,0.78,-1.73,8.67
110404,8,0.82,0.71,8.12
110761,0,3.69,0.47,10.51
111132,6,-4.08,1.88,7.96
111504,6,3.96,1.45,10.94
111876,4,2.75,0.35,10.00
112246,5,-0.86,0.43,8.59
112618,4,-0.90,3.33,8.04
112990,12,-0.51,2.71,8.36
113375,10,0.08,0.39,9.89
113746,4,-0.31,2.16,8.12
114118,3,-0.27,0.31,9.49
114490,6,2.39,0.00,10.67
114861,8,-3.02,1.92,6.86
115232,13,-0.90,3.22,7.65
115618,9,0.75,0.35,8.12
115975,6,-0.04,0.94,7.06
116346,12,-0.59,3.45,8.28
116732,12,-2.12,2.82,7.14
117117,5,1.37,1.14,10.87
117489,0,-2.51,3.37,7.30
117861,7,1.92,0.59,10.43
118232,1,-2.04,0.51,8.12
118603,1,-0.31,-0.08,10.43
119004,7,2.24,-1.06,10.59
119389,6,1.84,-1.06,10.04
119775,0,1.06,-0.94,8.98
120146,3,-2.75,3.22,7.22
120517,4,-3.30,2.90,7.49
120889,0,1.49,0.16,10.20
121261,0,0.51,1.06,10.47
121632,3,1.37,-1.18,9.26
122003,5,1.29,-1.65,9.14
122375,1,-3.77,3.69,7.49
122746,12,-0.51,0.39,9.45
123131,9,-2.94,0.78,8.08
123503,4,-2.04,1.53,7.14
123875,3,-1.61,2.35,8.08
124246,0,2.90,-0.59,9.92
124617,1,4.04,1.26,10.12
124989,4,-1.96,0.59,7.37
125361,6,1.88,0.51,9.81
125717,14,-2.43,1.92,8.28
126103,3,3.33,0.63,10.32
126475,15,-0.75,2.90,7.34
126860,9,-0.98,-1.45,8.47
127246,4,1.14,0.98,9.06
127603,2,-3.02,3.61,6.94
127974,2,0.43,3.57,8.04
128331,3,0.00,1.22,8.20
128689,10,1.14,-0.51,9.65
129075,2,-0.16,4.12,8.12
129445,1,0.35,0.59,10.47
129817,6,0.63,0.31,10.40
130189,1,0.27,-0.08,10.08
130574,10,2.43,0.75,9.65
130946,4,-1.88,1.14,7.49
131317,2,-1.41,2.55,7.26
131689,6,2.16,-0.04,9.92
132060,10,2.55,1.69,10.16
132446,2,-2.51,0.55,7.14
132817,4,-0.16,-0.51,8.55
133202,2,0.39,-2.82,9.22
133574,2,2.35,-0.55,7.65
133946,3,-2.51,2.47,6.67
134317,4,2.63,0.67,10.83
134688,1,-3.22,3.53,7.06
135060,6,-2.28,1.26,8.04
135431,3,-1.18,2.94,6.63
135802,4,0.39,0.51,10.43
136174,3,-2.16,1.84,7.10
136546,3,1.96,-0.24,10.20
136931,3,2.20,-0.63,10.55
137317,2,-3.14,3.45,7.34
137689,1,-0.82,1.80,7.30
138059,8,-3.53,2.47,7.06
138431,0,-0.47,0.67,9.26
138803,11,0.86,-0.82,9.02
139188,8,-1.88,2.12,7.49
139559,4,0.55,-0.78,9.22
139931,4,-2.43,0.90,7.77
140303,1,2.59,-0.51,10.20
140688,1,2.24,2.12,10.28
141060,8,-0.35,-1.02,8.28
141446,1,1.92,0.59,9.53
141802,2,2.20,-0.43,9.89
142174,1,0.08,1.96,8.55
142531,5,-3.49,2.71,6.59
142902,10,1.26,-0.86,9.96
143288,1,-3.26,2.94,6.59
143660,1,-3.06,1.18,7.22
144031,4,-3.10,0.47,8.04
144402,2,-1.22,4.39,7.41
144774,2,-2.00,2.28,7.22
145145,3,-2.00,1.96,7.18
145516,7,-0.98,1.69,7.18
145888,9,-0.43,-0.31,8.43
146274,3,1.92,0.35,9.81
146630,6,1.49,-1.26,9.69
147002,14,0.63,0.31,10.00
147388,4,-0.94,2.35,8.47
147760,6,1.45,-0.43,10.04
148145,2,3.02,0.55,10.43
148516,1,-2.79,3.10,7.34
148888,8,1.80,-0.43,9.65
149259,9,-2.31,3.45,7.06
149630,6,-1.22,-0.51,10.51
150031,12,0.86,0.94,9.81
150402,1,-2.16,5.06,7.18
150773,7,-1.14,0.71,7.30
151145,2,2.71,0.47,10.67
151516,0,-2.04,2.24,7.18
151887,0,0.86,0.16,8.32
152245,5,1.18,0.51,9.57
152602,4,1.45,1.57,8.90
152958,9,-1.84,2.55,7.14
153330,9,-1.92,2.55,6.98
153702,3,-2.79,2.59,6.94
154073,3,2.00,0.47,9.45
154430,4,-2.16,-0.04,10.04
154830,11,-2.28,2.08,7.06
155216,6,1.37,-0.35,10.28
155601,1,-3.22,2.04,7.10
155973,1,-2.24,0.90,7.41
156345,3,3.06,-0.04,10.20
156730,8,-1.96,0.86,7.14
157102,9,-0.47,3.26,8.04
157473,4,-2.63,0.47,7.69
157844,4,0.55,0.35,9.69
158201,8,-3.45,3.30,7.14
158573,1,2.39,-0.59,9.65
158945,1,-1.96,0.35,8.12
159315,3,-2.67,2.16,7.30
159687,1,1.10,0.31,10.28
160059,1,-2.35,1.29,7.41
160430,6,-0.94,0.75,7.37
160801,7,-0.31,0.55,9.30
161173,1,-0.16,3.49,8.20
161544,2,-2.16,0.24,7.88
161915,7,-1.02,1.41,7.88
162287,2,-0.04,-0.59,8.24
162673,2,-1.10,2.82,8.32
163044,6,-0.27,0.20,8.43
163416,6,0.86,-1.18,9.69
163787,5,-2.43,0.55,7.81
164158,2,-2.90,1.73,7.30
164530,5,-0.75,3.69,7.57
164901,3,0.00,-0.12,9.41
165272,7,0.27,1.41,7.30
165629,0,-1.65,2.39,7.06
166001,2,-0.27,-0.43,9.65
166387,4,-0.04,-0.43,9.53
166772,6,0.94,0.43,7.18
167130,9,3.37,0.90,10.63
167501,8,-1.53,0.16,7.73
167872,12,-1.18,1.88,7.06
168258,10,-1.69,0.59,7.77
168644,2,0.47,1.26,8.24
169000,0,1.65,-0.27,10.16
169387,1,-3.26,3.37,7.30
169758,2,-1.26,2.04,7.14
170130,10,-1.02,0.00,8.04
170515,1,0.78,0.63,9.81
170872,3,-3.49,1.06,6.98
171244,4,1.73,-1.10,8.83
171615,7,-1.49,2.00,7.06
171986,5,-1.49,3.02,7.30
172358,1,2.86,1.02,9.41
172715,4,-1.92,1.73,6.98
173086,2,-0.47,1.45,8.98
173458,4,0.78,1.18,9.41
173815,0,-1.88,1.37,6.86
174186,2,0.43,1.57,9.34
174543,2,0.43,1.37,9.26
174901,4,-1.88,1.22,7.53
175272,0,-1.73,0.20,7.96
175643,6,-1.49,-0.16,7.61
176029,2,1.80,0.12,9.85
176387,4,-2.20,1.29,7.22
176757,2,-2.86,1.73,7.41
177129,2,-1.10,2.75,7.26
177501,1,-2.16,1.14,7.53
177872,4,1.33,-1.33,8.94
178243,1,1.26,-1.69,9.89
178615,3,-0.20,1.84,8.63
178987,1,-2.94,1.37,9.69
179357,2,-1.49,2.35,7.49
179729,9,1.69,-0.59,9.41
180101,2,0.04,-0.39,8.16
180471,5,-0.86,-0.35,8.43
180857,2,2.79,-0.59,9.92
181229,4,-2.47,2.59,6.86
181601,8,1.49,-0.12,8.59
181971,6,-0.04,0.78,9.34
182343,4,0.82,0.98,8.43
182701,5,-0.20,-0.67,8.63
183086,6,1.61,-0.82,8.94
183457,3,-1.77,4.04,7.26
183829,11,2.39,0.35,9.69
184200,6,1.53,1.22,10.08
184571,12,-1.26,0.67,7.92
184957,8,-1.33,0.35,8.55
185329,6,-2.04,2.51,7.10
185700,4,1.61,-0.98,9.53
186072,1,-1.33,1.53,7.69
186443,4,-1.53,1.61,8.08
186814,2,1.10,1.49,8.87
187171,4,1.02,2.71,8.12
187529,0,-0.39,3.14,8.32
187900,2,-1.69,-0.08,7.65
188285,3,1.49,-0.59,9.41
188657,2,0.94,-0.67,9.65
189029,5,-2.71,1.65,7.41
189400,2,-1.26,0.51,7.69
189771,2,0.04,1.33,9.18
190129,4,1.69,-1.10,9.81
190499,7,0.51,0.75,9.92
190857,10,-1.84,3.37,7.30
191243,2,-1.26,0.08,8.12
191614,7,-2.75,-0.86,8.51
192000,3,-0.78,-2.31,8.75
192386,6,-3.06,2.90,8.28
192757,14,0.71,0.16,9.96
193128,7,0.71,-1.37,9.06
193500,3,-2.12,1.57,7.37
193871,0,-1.06,0.67,7.49
194242,2,-0.90,0.90,7.49
194614,7,-2.20,2.79,7.34
194985,9,2.82,1.10,9.65
195343,5,-2.39,2.55,8.16
195714,0,-1.22,3.37,8.24
196085,4,2.12,-0.43,9.26
196457,4,-0.78,0.31,8.24
196828,4,-1.61,1.61,6.90
197199,3,-2.35,1.96,7.85
197571,1,1.45,-1.33,9.73
197943,3,0.78,0.12,9.61
198299,5,-2.79,3.22,6.71
198671,6,-1.84,3.41,7.69
199043,6,-1.14,1.92,8.32
199413,3,2.43,0.86,9.38
199771,5,0.12,-1.29,10.08
200157,1,1.88,-0.82,9.89
200528,5,2.20,1.10,9.77
200885,1,-0.47,2.94,8.00
201256,5,1.33,0.59,10.04
201628,6,-1.96,2.67,6.35
201999,4,1.14,0.90,9.85
202356,2,-1.02,1.06,8.59
202728,5,-0.75,-1.49,8.43
203114,15,-1.84,0.47,7.73
203499,0,-0.71,2.28,7.85
203871,9,-1.45,2.04,7.18
204242,12,2.24,-0.59,10.12
204642,5,1.96,-0.78,9.73
205014,4,1.96,0.55,10.20
205385,1,0.35,0.82,7.41
205742,3,-1.33,3.65,7.18
206113,4,-0.43,1.18,7.45
206485,2,1.49,1.02,9.57
206842,4,2.04,1.88,8.98
207199,1,-2.08,2.75,6.75
207570,5,0.39,2.04,8.47
207928,5,-0.82,1.73,7.37
208299,4,0.67,2.08,9.34
208656,1,-1.22,0.16,7.57
209028,1,1.49,0.82,7.26
209385,0,1.65,0.75,9.73
209741,0,0.71,-1.22,9.65
210113,9,2.20,-1.26,9.96
210485,5,1.49,-0.86,9.22
210856,3,1.69,0.90,10.04
211227,9,1.96,0.90,10.20
211599,5,-0.24,1.06,7.88
211971,7,-3.02,2.35,6.90
212341,10,-1.84,1.02,7.73
212727,6,1.73,-0.59,9.61
213099,11,-2.28,2.90,8.47
213484,9,-2.63,1.02,7.88
213856,2,-0.04,0.24,7.81
214227,8,-2.08,2.63,7.34
214598,6,3.14,-0.67,10.36
214984,1,0.86,1.18,9.22
215342,2,1.26,-1.65,8.71
215713,3,-1.18,1.10,8.00
216084,7,-0.08,3.77,7.10
216456,1,-2.00,2.00,8.47
216827,2,-1.73,2.31,7.10
217198,2,-2.39,1.61,7.02
217570,1,-1.92,0.98,8.04
217942,2,-0.27,-0.71,8.28
218327,5,-0.31,2.08,8.36
218698,3,-1.77,1.33,8.04
219070,6,2.59,0.24,9.49
219427,6,-1.61,2.39,7.61
219798,2,0.98,-1.02,8.79
220170,5,0.04,0.98,9.41
220527,4,2.35,0.78,10.43
220899,5,0.55,0.51,9.26
221255,6,-1.92,2.79,7.49
221627,8,0.31,-0.16,9.34
221999,11,-1.41,2.47,7.53
222384,12,-2.35,2.24,6.83
222770,9,-0.75,0.04,9.41
223141,9,2.43,-1.26,9.73
223512,6,-2.24,1.92,7.14
223884,2,-1.88,2.98,7.02
224256,3,-0.75,-1.14,8.20
224641,6,2.67,-1.06,10.36
225027,6,-2.12,0.39,8.12
225398,1,-1.80,3.10,7.02
225770,5,-0.55,0.86,7.85
226141,2,-2.55,1.88,7.37
226512,3,1.10,-0.12,10.32
